Title,Stars,Reviewers,Cost,Page Count,Levels 1-4,Levels 5-10,Levels 11-16,Levels 17+
"Puzzles, Predicaments, and Perplexities",4.7,118,4.99,33,0,0,0,0
First Blush,4.6,212,0.0,18,1,0,0,0
Waterdeep: City Encounters,4.8,176,7.95,38,1,0,0,0
"Baldur's Gate: Descent into Avernus Complete DM's Bundle (maps, guides, cheatsheets and more)",4.8,93,14.95,150,0,0,0,0
Third Time's the Charm,4.7,62,0.0,26,1,0,0,0
Second Glance,4.6,85,0.0,28,1,0,0,0
"Waterdeep: Dragon Heist Complete DM's Bundle (Guides, Maps, Adventures and other Resources)",4.7,134,14.95,110,0,0,0,0
Dread Metrol: Into the Mists - An Eberron / Ravenloft Crossover,4.8,27,17.95,112,1,0,0,0
Feywild Companion,5.0,7,14.99,151,0,0,0,0
Eyes Unclouded,4.7,46,19.95,195,0,0,0,0
The Pub that Crawls,5.0,1,4.99,28,1,0,0,0
The Madhouse of Tasha's Kiss - Adventure,4.9,117,6.95,38,1,1,0,0
Witchlight Carnival Expanded,5.0,3,4.95,23,1,0,0,0
One Night Strahd,5.0,11,19.93,525,0,1,0,0
Blue Alley,4.7,210,4.95,17,1,0,0,0
Uncaged | Volume I,4.8,224,14.95,238,0,0,0,0
Puzzle Master,4.9,31,5.95,44,0,0,0,0
Tomb of Annihilation Companion,4.8,109,4.99,50,0,0,0,0
Murder on the Eberron Express,4.8,50,6.95,49,0,0,0,0
Adaptable NPCs,4.7,98,14.95,92,1,1,1,0
The Haunt,4.8,163,6.95,16,0,1,0,0
She is the Ancient: A Genderbent Curse of Strahd,4.5,19,19.99,157,1,1,0,0
D&D Solo Adventure: The Death Knight's Squire,4.6,182,9.99,118,1,0,0,0
Happy Jack's Funhouse,4.9,46,6.95,60,1,1,0,0
Encounters in Avernus,4.7,125,5.95,34,0,0,0,0
Hither Adventure Bundle for the Wild Beyond the Witchlight,-1.0,0,4.95,30,1,0,0,0
100 Monster Hunts,4.8,68,7.49,36,0,0,0,0
"The Floating Isles, a Thither Adventure",5.0,2,1.99,11,1,1,0,0
Shore of Dreams,4.9,119,2.95,22,0,1,0,0
Complete Adventures of M.T. Black Vol. I,4.9,127,9.95,192,1,1,0,0
Thither Adventure Bundle for the Wild Beyond the Witchlight,-1.0,0,4.95,31,1,1,0,0
Trinkets of Strixhaven,4.0,1,1.5,9,0,0,0,0
A Guide to Curse of Strahd,4.7,232,0.0,64,0,0,0,0
Xanathar's Lost Notes to Everything Else,4.4,121,19.95,86,1,0,0,0
Storm King's Thunder - Complete DM's Bundle,4.7,104,12.95,100,0,0,0,0
Infernal Machine Rebuild (5e),4.6,87,0.0,111,0,1,0,0
"Taverns, Inns, and Taprooms",4.9,74,9.95,89,0,0,0,0
,-1.0,0,0.0,-1,0,0,0,0
Trollskull Alley - a Waterdeep: Dragon Heist DM's Resource,4.7,76,2.99,10,0,0,0,0
Baldur's Gate: The Fall of Elturel,4.8,45,4.95,22,1,0,0,0
Options for Trollskull Manor,4.6,77,2.99,23,0,1,0,0
DDEX1-01 Defiance in Phlan (5e),4.4,201,2.99,32,1,0,0,0
"Forgetting Fablerise, a Thither Adventure",5.0,1,1.99,12,1,1,0,0
Eberron Confidential,5.0,22,4.95,26,0,0,0,0
A Guide to Storm King's Thunder,4.8,200,0.0,64,0,0,0,0
"Puzzles, Predicaments, and Perplexities II",4.8,33,4.95,52,0,0,0,0
The Sinister Secret of Saltmarsh – a Ghosts of Saltmarsh DM's Resource,4.7,28,3.99,17,1,0,0,0
"Ten-Towns – an Icewind Dale: Rime of the Frostmaiden DM's resource (maps, cheatsheets, advice)",4.6,23,2.95,20,1,0,0,0
Barovia Gazetteer: Van Richten's Tower,-1.0,0,2.0,15,0,0,0,0
Banquet of the Damned,4.8,130,3.95,23,1,0,0,0
Lost Laboratory of Kwalish (5e),4.6,70,9.99,61,0,1,0,0
"Puzzles, Predicaments, and Perplexities III",4.9,11,4.95,42,0,0,0,0
Into Wonderland: A Feywild Setting Book,4.6,40,0.0,240,0,1,1,0
DDAL05-01 Treasure of the Broken Hoard (5e),4.4,172,3.99,36,1,0,0,0
RMH-07 The City of Dreams,-1.0,0,9.99,29,1,0,0,0
RMH-08 The Palace of Bones,-1.0,0,9.99,29,1,0,0,0
EB-01 The Night Land,4.8,49,4.99,34,1,0,0,0
Villains & Lairs,4.8,55,14.95,200,1,1,0,0
Salvage Operation – a Ghosts of Saltmarsh DM's Resources,4.7,16,2.99,11,0,1,0,0
Morgrave Miscellany,4.3,97,14.95,164,0,0,0,0
A Most Potent Brew - A Basic Rules Adventure,4.8,305,0.0,4,1,0,0,0
Cellar of Death,4.8,116,2.99,16,1,0,0,0
Underwater Campaigns,5.0,5,19.99,166,0,0,0,0
DDAL05-02 The Black Road (5e),4.5,251,2.99,45,1,0,0,0
Encounters in Theros,4.9,36,7.95,36,0,0,0,0
Isle of the Abbey – a Ghosts of Saltmarsh DM's Resource,4.8,15,2.99,13,1,0,0,0
RMH-EP-01 The Grand Masquerade,4.5,10,14.99,28,1,0,0,0
Campaign Guide: Zakhara - Adventures in the Land of Fate (Al-Qadim and Forgotten Realms Sourcebook),4.7,12,14.95,290,1,0,0,0
To the End of Time - an Epic One-Shot,4.8,52,2.5,24,0,0,0,1
How The Lich Stole Christmas,4.9,36,3.95,17,1,1,1,1
EB-EP-04 The Last War,5.0,2,8.95,52,0,0,0,1
"A Tale of Two Cities - a Baldur's Gate: Descent into Avernus DM's Resource (maps, advice, handouts)",4.9,38,1.99,31,1,0,0,0
A Friend in Need - a Waterdeep: Dragon Heist DM's Resource,4.9,62,1.99,11,1,0,0,0
Before Phandelver - A Tutorial Adventure,4.8,41,2.0,12,1,0,0,0
Encounters in Sharn,4.5,105,6.95,39,1,1,0,0
"Inside Slanty Tower, a Hither Adventure",5.0,8,1.99,8,1,0,0,0
The Final Enemy – a Ghosts of Saltmarsh DM's Resource,4.5,6,3.99,20,0,1,0,0
Encounters in Barovia,5.0,12,9.99,48,1,1,0,0
"The Cloistered Cove, a Thither Adventure",5.0,3,1.99,8,1,0,0,0
"The Joy of Extradimensional Spaces – a Candlekeep Mysteries DM's resource (maps, cheatsheets, advice)",4.9,7,2.95,10,1,0,0,0
Nerzugal's Dungeon Master Toolkit 2,4.7,267,0.0,270,1,1,0,0
Ythryn Expanded Towers of Magic Bundle - maps and extra content for Rime of the Frostmaiden,5.0,10,11.99,67,0,1,0,0
The Ember King (WBW-DC-FDC-01),3.7,10,5.95,21,1,0,0,0
DDAL10-00 Ice Road Trackers,4.6,24,4.99,25,1,0,0,0
Solo Adventure Bundle 1,4.8,53,34.0,583,0,0,0,0
A Session Zero At Strixhaven,5.0,1,2.99,9,0,0,0,0
"Domain of the Nameless God (5e, horror)",4.9,29,10.0,77,1,0,0,0
Adaptable NPCs II,5.0,36,19.95,140,1,1,1,0
Curse of Strahd: The Wedding At Ravenloft,4.8,26,3.0,32,0,1,0,0
The Styes – a Ghosts of Saltmarsh DM's Resource,5.0,3,3.95,10,0,1,0,0
Uncaged | Volume II,4.9,61,14.95,236,0,0,0,0
Waterdeep's Notice Boards: Quest Seeds for the City of Splendors and Skullport,4.6,42,4.99,27,1,1,0,0
The Real Devil Strahd! - A CR27 Version of the Devil,4.7,34,1.99,7,0,0,0,0
Dino World,4.7,35,3.95,19,0,1,0,0
DDAL-DRW-EP-03 When the Lights Went Out in Candlekeep,4.0,2,9.99,64,0,1,0,0
RMH-01 The Final Curtain,4.6,8,9.99,28,1,0,0,0
Night of the Living Dead,4.5,2,0.99,16,1,0,0,0
DDAL07-01 A City on the Edge (5e),4.0,145,3.99,50,1,0,0,0
DDEX1-02 Secrets of Sokol Keep (5e),4.4,157,2.99,26,1,0,0,0
Heroes of Baldur's Gate (5e),4.6,62,19.95,160,1,1,0,0
The Infinite Staircase,4.3,37,9.95,97,0,0,0,0
Encounters in Port Nyanzaru,4.3,65,4.99,26,1,0,0,0
Through the Veil: Tales of the Feywild,4.6,21,14.95,138,0,0,0,0
A Guide to Tomb of Annihilation,4.5,131,0.0,45,0,0,0,0
Saltmarsh Encounters,4.6,116,4.95,22,0,0,0,0
Monster Loot – Lost Mine of Phandelver,4.8,11,0.95,10,1,0,0,0
The Interactive Tome of Strahd,4.8,53,0.0,48,0,1,1,0
Doomhold Barrow Solo,-1.0,0,2.99,22,1,0,0,0
Witchlight Carnival Encore,5.0,3,2.99,13,0,0,0,0
Urban Encounters for Neverwinter,4.1,10,2.95,7,0,0,0,0
Fireball - a Waterdeep: Dragon Heist DM's Resource,4.8,38,2.99,11,0,0,0,0
Curtain Call: A Sharn Adventure,4.9,53,4.95,24,1,0,0,0
DDEX1-06 The Scroll Thief (5e),4.6,117,2.99,30,1,0,0,0
Tactical Maps: Adventure Atlas,4.7,52,19.99,109,1,1,1,1
Handful of Heists,4.9,34,4.95,40,1,0,0,0
Barovia Gazetteer: Krezk and the West,-1.0,0,2.0,16,0,0,0,0
Return of the Necromancer - Level 4 Mini Adventure,4.8,5,0.0,-1,1,0,0,0
"One-Page One-Shots, Volume One",4.7,9,4.99,21,0,0,0,0
DDEX1-12 Raiders of the Twilight Marsh (5e),4.4,73,3.99,33,0,1,0,0
The Gloomies,5.0,1,4.95,33,1,1,1,1
DDEX1-03 Shadows of the Moonsea (5e),4.4,131,2.99,32,1,0,0,0
Dragon Heist: The Haunting at Trollskull Manor,4.8,45,1.0,11,1,0,0,0
The Executioner's Daughter,4.6,151,0.0,28,1,0,0,0
I Find That Familiar (WBW-DC-FDC-03),4.8,11,7.95,40,1,0,0,0
Call from the Deep,5.0,60,39.95,270,1,1,1,0
The Corruption of Skyhorn Lighthouse,5.0,24,4.99,24,0,1,0,0
DDAL10-01 The Frozen North,4.5,19,4.99,37,1,0,0,0
RMH-05 Unexpected Hospitality,4.7,3,9.99,28,1,0,0,0
The House of the Midnight Violet,4.7,71,6.95,22,1,1,0,0
Icewind Dale: Tome of Adventures | A Rime of the Frostmaiden Supplement,5.0,11,9.95,57,1,1,0,0
EB-02 Voice in the Machine,4.6,25,4.99,32,1,0,0,0
DDEX1-04 Dues for the Dead (5e),4.3,123,2.99,25,1,0,0,0
The Blood Hunter,4.9,36,4.95,33,0,1,0,0
Lost Mine of Phandelver Battle Maps,4.7,37,2.0,-1,1,0,0,0
Soiree: A Waterdeep Tale,-1.0,0,4.95,22,0,0,0,0
CCC-UCON-01 Blood & Fog,4.3,24,4.99,-1,0,1,0,0
Return to the Glory (5e),4.4,14,9.99,38,0,1,0,0
Expedition to the Lost Peaks - Adventure,4.5,16,1.95,17,0,1,0,0
Eberron: Oracle of War: Salvage Bases and Missions,4.7,20,9.95,77,0,0,0,0
DDEX1-09 Outlaws of the Iron Route (5e),4.4,72,2.99,38,1,0,0,0
"The Price of Beauty – a Candlekeep Mysteries DM's resource (maps, cheatsheets, advice)",5.0,5,3.95,10,0,1,0,0
Weekend at Strahd's,4.5,49,4.95,14,0,1,0,0
"Book of the Raven – a Candlekeep Mysteries DM's resource (maps, cheatsheets, advice)",5.0,2,3.95,10,1,0,0,0
Encounters in Icewind Dale,4.6,16,7.99,58,1,1,0,0
Strixhaven New Year's,5.0,1,2.99,12,0,0,0,0
Residents of Trollskull Alley,4.7,40,5.99,30,0,0,0,0
DDEX1-11 Dark Pyramid of Sorcerer’s Isle (5e),4.3,68,4.99,49,0,1,0,0
Mansion of the Minimizing Mage,4.9,10,1.99,53,1,0,0,0
DDAL05-03 Uninvited Guests (5e),4.6,124,2.99,31,1,0,0,0
"Within Brigands' Tollway, a Hither Adventure",5.0,2,1.99,11,1,0,0,0
DDEX1-07 Drums in the Marsh (5e),4.3,71,2.99,24,1,0,0,0
DDEX1-05 The Courting of Fire (5e),4.3,79,2.99,24,1,0,0,0
DDEX1-08 Tales Trees Tell (5e),4.5,85,2.99,28,1,0,0,0
Encounters in the Jungles of Chult,4.5,41,3.99,21,0,0,0,0
RMH-02 Back to the Front,4.3,3,9.99,29,1,0,0,0
"The Watcher's Pool, a Hither Adventure",5.0,4,1.99,10,1,0,0,0
Behind Tser Falls - expanded maps and content for Curse of Strahd,5.0,1,3.95,11,0,1,0,0
A Night of Fright!,4.7,22,4.95,33,0,0,0,0
50 Notice Board Quests,4.8,51,3.95,5,0,0,0,0
EB-19 Back to the Mud,3.8,5,4.99,34,0,0,1,0
Dragon Heist: Forgotten Tales,4.7,94,7.95,33,1,1,0,0
Barovia Gazetteer: The Town of Vallaki,-1.0,0,3.95,23,0,0,0,0
Kraken's Gamble - a Storm King's Thunder Adventure,4.7,72,2.99,18,0,0,0,0
Lost Mine of Phandelver Side Maps,4.7,36,2.0,-1,0,0,0,0
Barovia Random Encounters on the Old Svalich Road - Curse of Strahd,4.8,13,1.99,45,0,1,0,0
Waterdeep: Expanded Faction Missions,4.7,68,0.0,43,1,0,0,0
EB-03 Where the Dead Wait,4.7,22,4.99,28,1,0,0,0
SOLO EPA 03: Siege at Lamstrand Long,-1.0,0,14.99,440,0,0,0,0
"Tomb of Annihilation Complete DM's Bundle (maps, advice, adventures, cheatsheets, and more)",4.9,10,14.95,150,0,0,0,0
The Haunt Trilogy (Hardcover Special Edition),4.7,3,19.95,180,0,0,0,0
Locathah Rising (5e),4.7,30,9.99,39,0,1,0,0
Uncaged | Volume III,4.8,44,14.95,239,0,0,0,0
DDEX1-13 Pool of Radiance Resurgent (5e),4.4,59,2.99,35,0,1,0,0
The Ruined Tower of Zenopus,4.9,22,1.99,20,1,0,0,0
Encounters in the Far North,4.6,7,5.95,28,1,1,0,0
Encounters in the Feywild,5.0,3,9.99,-1,1,1,1,0
The Castle of Corellon,4.5,19,3.0,31,1,0,0,0
Gateway to a Savage Land - Adventure,4.3,23,2.95,35,1,1,0,0
DDEX1-10 Tyranny in Phlan (5e),4.4,70,2.99,40,1,0,0,0
Adaptable NPCs: Calamity,4.8,24,9.95,66,1,1,0,0
Rime of the Frostmaiden Companion 1: Ten Towns,5.0,8,2.95,54,0,0,0,0
RMH-06 Amber Reclamation,5.0,1,9.99,25,1,0,0,0
Ruins of Mezro,4.6,59,4.95,40,1,1,1,0
The Proving Glade,4.7,18,2.95,14,1,0,0,0
Claus for Concern: A Holiday One-Shot for Christmas,4.9,17,0.0,21,1,0,0,0
Journey Through the Center of the Underdark,4.7,63,2.95,20,1,1,0,0
Off to a Weird Start,4.6,20,1.95,12,1,0,0,0
Tower of the Mad Mage - Adventure,4.8,56,1.95,16,1,0,0,0
DDAL10-10 Burying the Past,3.8,4,4.99,25,0,0,0,0
More Witchlight Carnival Games,-1.0,0,3.0,7,0,0,0,0
"Lore of Lurue – a Candlekeep Mysteries DM's resource (maps, cheatsheets, advice)",5.0,2,3.95,10,0,1,0,0
A Guide to Tyranny of Dragons,4.6,109,0.0,29,0,0,0,0
Solstice Shenanigans: A Wintry One Shot,4.7,43,3.49,21,0,1,0,0
DDAL4-01 Suits of the Mists (5e),3.6,65,2.99,39,1,0,0,0
DDAL06-01 A Thousand Tiny Deaths (5e),4.3,160,2.99,-1,1,0,0,0
DotMM Companion: Bundle 1,4.9,43,5.0,100,0,0,0,0
To Hell and Back Again,4.8,53,9.95,81,1,0,0,0
Lost City of Mezro,4.7,95,14.95,144,1,1,1,0
DDAL04-02 The Beast (5e),4.4,57,2.99,34,1,0,0,0
"Mazfroth's Mighty Digressions – a Candlekeep Mysteries DM's resource (maps, cheatsheets, advice)",5.0,3,3.95,8,1,0,0,0
The War for the Throne,5.0,3,9.99,63,0,0,0,0
Realm Events,4.9,7,2.99,20,0,0,0,0
WBW-DC-FDC-05 Crumbling Castles & Candy Clouds,4.5,2,5.95,33,1,0,0,0
"Elturel Has Fallen – a Baldur's Gate: Descent into Avernus DM's Resource (maps, advice, cheatsheets)",4.7,18,4.99,30,0,0,0,0
EB-04 The Third Protocol,4.8,17,4.99,27,1,0,0,0
Triboar - a Storm King's Thunder DM's resource,4.7,57,2.99,11,0,0,0,0
In Ricordo di Claudia,5.0,2,3.0,16,0,0,0,0
Riddle of the Raven Queen,4.6,100,5.95,34,0,1,0,0
Adaptable NPCs of the Guild,4.9,11,19.95,104,1,1,0,0
Gray Hands - a Waterdeep: Dragon Heist DM's Resource,4.8,33,2.99,11,1,0,0,0
Horror at Havel's Cross - A Basic Rules Adventure,4.6,136,0.0,6,1,0,0,0
The False Hydra,4.6,34,0.0,4,0,0,0,0
D&D Solo Adventure: Tyrant of Zhentil Keep,4.7,46,9.99,167,0,0,0,0
RMH-03 The Amber Dirge,3.3,3,9.99,23,1,0,0,0
DDAL-ELW01 Murder in Skyway,4.3,43,4.99,21,1,0,0,0
DDAL08-00 Once in Waterdeep,3.9,93,4.99,45,1,0,0,0
D&D Solo Adventure: Drums at Daggerford,4.9,23,9.99,160,0,1,0,0
A Meal to Remember (WBW-DC-FDC-07),5.0,8,5.95,21,1,0,0,0
EB-18 Scales of War,5.0,3,4.99,29,0,0,1,0
In the Heart of the Forest,4.6,16,2.95,18,0,1,0,0
DDAL05-11 Forgotten Traditions (5e),4.4,102,3.99,-1,0,1,0,0
The Monster of Wonderia (WBW-DC-FDC-04),4.9,9,5.95,24,1,0,0,0
Split The Party,4.8,5,4.95,51,1,1,1,0
Atop Mount Ghakis - expanded maps and content for Curse of Strahd,5.0,1,3.95,13,0,1,0,0
"Avernus - a Baldur's Gate: Descent into Avernus DM's Resource (maps, advice, cheatsheet)",4.9,17,4.99,55,0,1,0,0
"Book of Challenges: Dungeon Rooms, Puzzles, and Traps (3e)",4.5,42,9.99,-1,0,0,0,0
Sanctuary of Kithanis - An Adventure,-1.0,0,3.95,19,1,0,0,0
